ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
C57.7	Malignant neoplasm of other specified female genital organs	184.1	Exclusion	Breast cancer (BC)
C57.8	Malignant neoplasm of overlapping sites of female genital organs	184.1	Exclusion	Breast cancer (BC)
C57.9	Malignant neoplasm of female genital organ, unspecified	184.1	Exclusion	Breast cancer (BC)
C58	Malignant neoplasm of placenta	184.1	Exclusion	Breast cancer (BC)
D05	Carcinoma in situ of breast	174.1	Exclusion	Breast cancer (BC)
D05.0	Lobular carcinoma in situ of breast	174.1	Exclusion	Breast cancer (BC)
D05.00	Lobular carcinoma in situ of unspecified breast	174.1	Exclusion	Breast cancer (BC)
D05.01	Lobular carcinoma in situ of right breast	174.1	Exclusion	Breast cancer (BC)
D05.02	Lobular carcinoma in situ of left breast	174.1	Exclusion	Breast cancer (BC)
D05.1	Intraductal carcinoma in situ of breast	174.1	Exclusion	Breast cancer (BC)
D05.10	Intraductal carcinoma in situ of unspecified breast	174.1	Exclusion	Breast cancer (BC)
D05.11	Intraductal carcinoma in situ of right breast	174.1	Exclusion	Breast cancer (BC)
D05.12	Intraductal carcinoma in situ of left breast	174.1	Exclusion	Breast cancer (BC)
D05.8	Other specified type of carcinoma in situ of breast	174.1	Exclusion	Breast cancer (BC)
D05.80	Other specified type of carcinoma in situ of unspecified breast	174.1	Exclusion	Breast cancer (BC)
D05.81	Other specified type of carcinoma in situ of right breast	174.1	Exclusion	Breast cancer (BC)
D05.82	Other specified type of carcinoma in situ of left breast	174.1	Exclusion	Breast cancer (BC)
D05.9	Unspecified type of carcinoma in situ of breast	174.1	Exclusion	Breast cancer (BC)
D05.90	Unspecified type of carcinoma in situ of unspecified breast	174.1	Exclusion	Breast cancer (BC)
D05.91	Unspecified type of carcinoma in situ of right breast	174.1	Exclusion	Breast cancer (BC)
D05.92	Unspecified type of carcinoma in situ of left breast	174.1	Exclusion	Breast cancer (BC)
D06	Carcinoma in situ of cervix uteri	180.3	Exclusion	Breast cancer (BC)
D06.0	Carcinoma in situ of endocervix	180.3	Exclusion	Breast cancer (BC)
D06.1	Carcinoma in situ of exocervix	180.3	Exclusion	Breast cancer (BC)
D06.7	Carcinoma in situ of other parts of cervix	180.3	Exclusion	Breast cancer (BC)
D06.9	Carcinoma in situ of cervix, unspecified	180.3	Exclusion	Breast cancer (BC)
D07.0	Carcinoma in situ of endometrium	182	Exclusion	Breast cancer (BC)
D07.1	Carcinoma in situ of vulva	184.2	Exclusion	Breast cancer (BC)
D07.2	Carcinoma in situ of vagina	184.2	Exclusion	Breast cancer (BC)
D07.3	Carcinoma in situ of other and unspecified female genital organs	184.2	Exclusion	Breast cancer (BC)
D07.30	Carcinoma in situ of unspecified female genital organs	184.2	Exclusion	Breast cancer (BC)
D07.39	Carcinoma in situ of other female genital organs	184.2	Exclusion	Breast cancer (BC)
D24	Benign neoplasm of breast	610.4	Exclusion	Breast cancer (BC)
D24.1	Benign neoplasm of right breast	610.4	Exclusion	Breast cancer (BC)
D24.2	Benign neoplasm of left breast	610.4	Exclusion	Breast cancer (BC)
D24.9	Benign neoplasm of unspecified breast	610.4	Exclusion	Breast cancer (BC)
D39	Neoplasm of uncertain behavior of female genital organs	184.2	Exclusion	Breast cancer (BC)
D39.0	Neoplasm of uncertain behavior of uterus	184.2	Exclusion	Breast cancer (BC)
D39.1	Neoplasm of uncertain behavior of ovary	184	Exclusion	Breast cancer (BC)
D39.10	Neoplasm of uncertain behavior of unspecified ovary	184	Exclusion	Breast cancer (BC)
D39.11	Neoplasm of uncertain behavior of right ovary	184	Exclusion	Breast cancer (BC)
D39.12	Neoplasm of uncertain behavior of left ovary	184	Exclusion	Breast cancer (BC)
D39.2	Neoplasm of uncertain behavior of placenta	184.2	Exclusion	Breast cancer (BC)
D39.8	Neoplasm of uncertain behavior of other specified female genital organs	184.2	Exclusion	Breast cancer (BC)
D39.9	Neoplasm of uncertain behavior of female genital organ, unspecified	184.2	Exclusion	Breast cancer (BC)
D48.6	Neoplasm of uncertain behavior of breast	174.3	Exclusion	Breast cancer (BC)
D48.60	Neoplasm of uncertain behavior of unspecified breast	174.3	Exclusion	Breast cancer (BC)
D48.61	Neoplasm of uncertain behavior of right breast	174.3	Exclusion	Breast cancer (BC)
D48.62	Neoplasm of uncertain behavior of left breast	174.3	Exclusion	Breast cancer (BC)
D49.3	Neoplasm of unspecified behavior of breast	174.3	Exclusion	Breast cancer (BC)
N60	Benign mammary dysplasia	610.1	Exclusion	Breast cancer (BC)
N60	Benign mammary dysplasia	610.8	Exclusion	Breast cancer (BC)
N60.0	Solitary cyst of breast	610.1	Exclusion	Breast cancer (BC)
N60.01	Solitary cyst of right breast	610.1	Exclusion	Breast cancer (BC)
N60.02	Solitary cyst of left breast	610.1	Exclusion	Breast cancer (BC)
N60.09	Solitary cyst of unspecified breast	610.1	Exclusion	Breast cancer (BC)
N60.1	Diffuse cystic mastopathy	610.1	Exclusion	Breast cancer (BC)
N60.11	Diffuse cystic mastopathy of right breast	610.1	Exclusion	Breast cancer (BC)
N60.12	Diffuse cystic mastopathy of left breast	610.1	Exclusion	Breast cancer (BC)
N60.19	Diffuse cystic mastopathy of unspecified breast	610.1	Exclusion	Breast cancer (BC)
N60.2	Fibroadenosis of breast	610.2	Exclusion	Breast cancer (BC)
N60.21	Fibroadenosis of right breast	610.2	Exclusion	Breast cancer (BC)
N60.22	Fibroadenosis of left breast	610.2	Exclusion	Breast cancer (BC)
N60.29	Fibroadenosis of unspecified breast	610.2	Exclusion	Breast cancer (BC)
N60.3	Fibrosclerosis of breast	610.3	Exclusion	Breast cancer (BC)
N60.31	Fibrosclerosis of right breast	610.3	Exclusion	Breast cancer (BC)
N60.32	Fibrosclerosis of left breast	610.3	Exclusion	Breast cancer (BC)
N60.39	Fibrosclerosis of unspecified breast	610.3	Exclusion	Breast cancer (BC)
N60.4	Mammary duct ectasia	610.8	Exclusion	Breast cancer (BC)
N60.41	Mammary duct ectasia of right breast	610.8	Exclusion	Breast cancer (BC)
N60.42	Mammary duct ectasia of left breast	610.8	Exclusion	Breast cancer (BC)
N60.49	Mammary duct ectasia of unspecified breast	610.8	Exclusion	Breast cancer (BC)
N60.8	Other benign mammary dysplasias	610.8	Exclusion	Breast cancer (BC)
N60.81	Other benign mammary dysplasias of right breast	610.8	Exclusion	Breast cancer (BC)
N60.82	Other benign mammary dysplasias of left breast	610.8	Exclusion	Breast cancer (BC)
N60.89	Other benign mammary dysplasias of unspecified breast	610.8	Exclusion	Breast cancer (BC)
N60.9	Unspecified benign mammary dysplasia	610.8	Exclusion	Breast cancer (BC)
N60.91	Unspecified benign mammary dysplasia of right breast	610.8	Exclusion	Breast cancer (BC)
N60.92	Unspecified benign mammary dysplasia of left breast	610.8	Exclusion	Breast cancer (BC)
N60.99	Unspecified benign mammary dysplasia of unspecified breast	610.8	Exclusion	Breast cancer (BC)
N65	Deformity and disproportion of reconstructed breast	175	Exclusion	Breast cancer (BC)
N65.0	Deformity of reconstructed breast	175	Exclusion	Breast cancer (BC)
N65.1	Disproportion of reconstructed breast	175	Exclusion	Breast cancer (BC)
N87	Dysplasia of cervix uteri	180.3	Exclusion	Breast cancer (BC)
N87.0	Mild cervical dysplasia	180.3	Exclusion	Breast cancer (BC)
N87.1	Moderate cervical dysplasia	180.3	Exclusion	Breast cancer (BC)
N87.9	Dysplasia of cervix uteri, unspecified	180.3	Exclusion	Breast cancer (BC)
N90.3	Dysplasia of vulva, unspecified	184.2	Exclusion	Breast cancer (BC)
Z15.01	Genetic susceptibility to malignant neoplasm of breast	1010.4	Exclusion	Breast cancer (BC)
Z40.01	Encounter for prophylactic removal of breast	1010	Exclusion	Breast cancer (BC)
Z42.1	Encounter for breast reconstruction following mastectomy	1010	Exclusion	Breast cancer (BC)
Z85.3	Personal history of malignant neoplasm of breast	174	Exclusion	Breast cancer (BC)
Z85.40	Personal history of malignant neoplasm of unspecified female genital organ	184	Exclusion	Breast cancer (BC)
Z85.41	Personal history of malignant neoplasm of cervix uteri	184	Exclusion	Breast cancer (BC)
Z85.42	Personal history of malignant neoplasm of other parts of uterus	182	Exclusion	Breast cancer (BC)
Z85.43	Personal history of malignant neoplasm of ovary	184.11	Exclusion	Breast cancer (BC)
Z85.44	Personal history of malignant neoplasm of other female genital organs	184	Exclusion	Breast cancer (BC)
Z90.1	Acquired absence of breast and nipple	1090	Exclusion	Breast cancer (BC)
Z90.10	Acquired absence of unspecified breast and nipple	1090	Exclusion	Breast cancer (BC)
Z90.11	Acquired absence of right breast and nipple	1090	Exclusion	Breast cancer (BC)
Z90.12	Acquired absence of left breast and nipple	1090	Exclusion	Breast cancer (BC)
Z90.13	Acquired absence of bilateral breasts and nipples	1090	Exclusion	Breast cancer (BC)
N18	Chronic kidney disease (CKD)	585.3	Inclusion	Chronic kidney disease (CKD)
N18.1	Chronic kidney disease, stage 1	585.4	Inclusion	Chronic kidney disease (CKD)
N18.2	Chronic kidney disease, stage 2 (mild)	585.4	Inclusion	Chronic kidney disease (CKD)
N18.3	Chronic kidney disease, stage 3 (moderate)	585.33	Inclusion	Chronic kidney disease (CKD)
N18.30	Chronic kidney disease, stage 3 unspecified	585.33	Inclusion	Chronic kidney disease (CKD)
N18.31	Chronic kidney disease, stage 3a	585.33	Inclusion	Chronic kidney disease (CKD)
N18.32	Chronic kidney disease, stage 3b	585.33	Inclusion	Chronic kidney disease (CKD)
N18.4	Chronic kidney disease, stage 4 (severe)	585.34	Inclusion	Chronic kidney disease (CKD)
N18.5	Chronic kidney disease, stage 5	585.32	Inclusion	Chronic kidney disease (CKD)
N18.6	End stage renal disease	585.32	Inclusion	Chronic kidney disease (CKD)
N18.9	Chronic kidney disease, unspecified	585.3	Inclusion	Chronic kidney disease (CKD)
R88.0	Cloudy (hemodialysis) (peritoneal) dialysis effluent	585.31	Inclusion	Chronic kidney disease (CKD)
Y62.2	Failure of sterile precautions during kidney dialysis and other perfusion	585.31	Inclusion	Chronic kidney disease (CKD)
Y62.2	Failure of sterile precautions during kidney dialysis and other perfusion	585.31	Inclusion	Chronic kidney disease (CKD)
Y84.1	Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	585.31	Inclusion	Chronic kidney disease (CKD)
Y84.1	Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	585.31	Inclusion	Chronic kidney disease (CKD)
Z49	Encounter for care involving renal dialysis	1010	Inclusion	Chronic kidney disease (CKD)
Z49.0	Preparatory care for renal dialysis	1010	Inclusion	Chronic kidney disease (CKD)
Z49.01	Encounter for fitting and adjustment of extracorporeal dialysis catheter	1010	Inclusion	Chronic kidney disease (CKD)
Z49.02	Encounter for fitting and adjustment of peritoneal dialysis catheter	1010	Inclusion	Chronic kidney disease (CKD)
Z49.3	Encounter for adequacy testing for dialysis	1010	Inclusion	Chronic kidney disease (CKD)
Z49.31	Encounter for adequacy testing for hemodialysis	1010	Inclusion	Chronic kidney disease (CKD)
Z49.32	Encounter for adequacy testing for peritoneal dialysis	1010	Inclusion	Chronic kidney disease (CKD)
Z99.2	Dependence on renal dialysis	585.31	Inclusion	Chronic kidney disease (CKD)
B52.0	Plasmodium malariae malaria with nephropathy	580.2	Exclusion	Chronic kidney disease (CKD)
E08.2	Diabetes mellitus due to underlying condition with kidney complications	249	Exclusion	Chronic kidney disease (CKD)
E08.21	Diabetes mellitus due to underlying condition with diabetic nephropathy	249	Exclusion	Chronic kidney disease (CKD)
E08.22	Diabetes mellitus due to underlying condition with diabetic chronic kidney disease	249	Exclusion	Chronic kidney disease (CKD)
E08.29	Diabetes mellitus due to underlying condition with other diabetic kidney complication	249	Exclusion	Chronic kidney disease (CKD)
E09.2	Drug or chemical induced diabetes mellitus with kidney complications	249	Exclusion	Chronic kidney disease (CKD)
E09.21	Drug or chemical induced diabetes mellitus with diabetic nephropathy	250.12	Exclusion	Chronic kidney disease (CKD)
E09.22	Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease	250.22	Exclusion	Chronic kidney disease (CKD)
E09.29	Drug or chemical induced diabetes mellitus with other diabetic kidney complication	250	Exclusion	Chronic kidney disease (CKD)
E10.2	Type 1 diabetes mellitus with kidney complications	250.12	Exclusion	Chronic kidney disease (CKD)
E10.21	Type 1 diabetes mellitus with diabetic nephropathy	250.12	Exclusion	Chronic kidney disease (CKD)
E10.22	Type 1 diabetes mellitus with diabetic chronic kidney disease	250.12	Exclusion	Chronic kidney disease (CKD)
E10.29	Type 1 diabetes mellitus with other diabetic kidney complication	250.12	Exclusion	Chronic kidney disease (CKD)
E11.2	Type 2 diabetes mellitus with kidney complications	250.22	Exclusion	Chronic kidney disease (CKD)
E11.21	Type 2 diabetes mellitus with diabetic nephropathy	250.22	Exclusion	Chronic kidney disease (CKD)
E11.22	Type 2 diabetes mellitus with diabetic chronic kidney disease	250.22	Exclusion	Chronic kidney disease (CKD)
E11.29	Type 2 diabetes mellitus with other diabetic kidney complication	250.22	Exclusion	Chronic kidney disease (CKD)
E13.2	Other specified diabetes mellitus with kidney complications	250	Exclusion	Chronic kidney disease (CKD)
E13.21	Other specified diabetes mellitus with diabetic nephropathy	250	Exclusion	Chronic kidney disease (CKD)
E13.22	Other specified diabetes mellitus with diabetic chronic kidney disease	250	Exclusion	Chronic kidney disease (CKD)
E13.29	Other specified diabetes mellitus with other diabetic kidney complication	250	Exclusion	Chronic kidney disease (CKD)
M10.3	Gout due to renal impairment	274.11	Exclusion	Chronic kidney disease (CKD)
M10.30	Gout due to renal impairment, unspecified site	274.11	Exclusion	Chronic kidney disease (CKD)
M10.31	Gout due to renal impairment, shoulder	588	Exclusion	Chronic kidney disease (CKD)
M10.32	Gout due to renal impairment, elbow	588	Exclusion	Chronic kidney disease (CKD)
M10.33	Gout due to renal impairment, wrist	588	Exclusion	Chronic kidney disease (CKD)
M10.34	Gout due to renal impairment, hand	588	Exclusion	Chronic kidney disease (CKD)
M10.35	Gout due to renal impairment, hip	588	Exclusion	Chronic kidney disease (CKD)
M10.36	Gout due to renal impairment, knee	588	Exclusion	Chronic kidney disease (CKD)
M10.37	Gout due to renal impairment, ankle and foot	588	Exclusion	Chronic kidney disease (CKD)
M10.38	Gout due to renal impairment, other site	588	Exclusion	Chronic kidney disease (CKD)
M10.39	Gout due to renal impairment, multiple sites	588	Exclusion	Chronic kidney disease (CKD)
M32.14	Glomerular disease in systemic lupus erythematosus	580.31	Exclusion	Chronic kidney disease (CKD)
M32.15	Tubulo-interstitial nephropathy in systemic lupus erythematosus	580.31	Exclusion	Chronic kidney disease (CKD)
M35.04	Sicca syndrome with tubulo-interstitial nephropathy	580.31	Exclusion	Chronic kidney disease (CKD)
N00	Acute nephritic syndrome	580.13	Exclusion	Chronic kidney disease (CKD)
N00.0	Acute nephritic syndrome with minor glomerular abnormality	580.11	Exclusion	Chronic kidney disease (CKD)
N00.1	Acute nephritic syndrome with focal and segmental glomerular lesions	580.11	Exclusion	Chronic kidney disease (CKD)
N00.2	Acute nephritic syndrome with diffuse membranous glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N00.3	Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N00.4	Acute nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N00.5	Acute nephritic syndrome with diffuse mesangiocapillary glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N00.6	Acute nephritic syndrome with dense deposit disease	580.11	Exclusion	Chronic kidney disease (CKD)
N00.7	Acute nephritic syndrome with diffuse crescentic glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N00.8	Acute nephritic syndrome with other morphologic changes	580.13	Exclusion	Chronic kidney disease (CKD)
N00.9	Acute nephritic syndrome with unspecified morphologic changes	580.13	Exclusion	Chronic kidney disease (CKD)
N01	Rapidly progressive nephritic syndrome	580.11	Exclusion	Chronic kidney disease (CKD)
N01.0	Rapidly progressive nephritic syndrome with minor glomerular abnormality	580.11	Exclusion	Chronic kidney disease (CKD)
N01.1	Rapidly progressive nephritic syndrome with focal glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
N01.2	Rapidly progressive nephritic syndrome with diffuse membranous glomerulonephritis	580.11	Exclusion	Chronic kidney disease (CKD)
